Common name,Scientific name,Trend,Goal,Report Group
American Kestrel,Falco sparverius,Moderate Decrease,Below Goal Range,Grassland Bird
Baird's Sparrow,Centronyx bairdii,Large Decrease,Below Goal Range,Grassland Bird
Bobolink,Dolichonyx oryzivorus,Large Decrease,Below Goal Range,Grassland Bird
Brewer's Sparrow,Spizella breweri,Little Change,Within Goal Range,Grassland Bird
Burrowing Owl,Athene cunicularia,Large Decrease,Below Goal Range,Grassland Bird
Chestnut-collared Longspur,Calcarius ornatus,Large Decrease,Below Goal Range,Grassland Bird
Eastern Meadowlark,Sturnella magna,Large Decrease,Below Goal Range,Grassland Bird
Ferruginous Hawk,Buteo regalis,Large Increase,Within Goal Range,Grassland Bird
Grasshopper Sparrow,Ammodramus savannarum,Large Decrease,Below Goal Range,Grassland Bird
Greater Sage-Grouse,Centrocercus urophasianus,Large Decrease,Below Goal Range,Grassland Bird
Henslow's Sparrow,Centronyx henslowii,Large Decrease,Below Goal Range,Grassland Bird
Horned Lark,Eremophila alpestris,Large Decrease,Below Goal Range,Grassland Bird
Lark Bunting,Calamospiza melanocorys,Large Decrease,Below Goal Range,Grassland Bird
Lark Sparrow,Chondestes grammacus,Large Increase,Within Goal Range,Grassland Bird
LeConte's Sparrow,Ammospiza leconteii,Large Decrease,Below Goal Range,Grassland Bird
Long-billed Curlew,Numenius americanus,Moderate Decrease,Below Goal Range,Grassland Bird
Marbled Godwit,Limosa fedoa,Large Decrease,Below Goal Range,Grassland Bird
Mountain Plover,Anarhynchus montanus,Data Deficient,Data Deficient,Grassland Bird
Northern Bobwhite,Colinus virginianus,Large Decrease,Below Goal Range,Grassland Bird
Northern Harrier,Circus hudsonius,Large Decrease,Below Goal Range,Grassland Bird
Prairie Falcon,Falco mexicanus,Little Change,Within Goal Range,Grassland Bird
Savannah Sparrow,Passerculus sandwichensis,Large Decrease,Below Goal Range,Grassland Bird
Sharp-tailed Grouse,Tympanuchus phasianellus,Little Change,Within Goal Range,Grassland Bird
Short-eared Owl,Asio flammeus,Large Decrease,Below Goal Range,Grassland Bird
Sprague's Pipit,Anthus spragueii,Large Decrease,Below Goal Range,Grassland Bird
Swainson's Hawk,Buteo swainsoni,Moderate Increase,Within Goal Range,Grassland Bird
Thick-billed Longspur,Rhynchophanes mccownii,Large Decrease,Below Goal Range,Grassland Bird
Upland Sandpiper,Bartramia longicauda,Moderate Increase,Within Goal Range,Grassland Bird
Vesper Sparrow,Pooecetes gramineus,Large Decrease,Below Goal Range,Grassland Bird
Western Kingbird,Tyrannus verticalis,Little Change,Within Goal Range,Grassland Bird
Western Meadowlark,Sturnella neglecta,Large Decrease,Below Goal Range,Grassland Bird
Willet,Tringa semipalmata,Little Change,Within Goal Range,Grassland Bird
American Black Duck,Anas rubripes,Moderate Decrease,Below Goal Range,Waterfowl
American Wigeon,Mareca americana,Moderate Decrease,Below Goal Range,Waterfowl
Barrow's Goldeneye,Bucephala islandica,Moderate Increase,Within Goal Range,Waterfowl
Black Scoter,Melanitta americana,Large Decrease,Below Goal Range,Waterfowl
Blue-winged Teal,Spatula discors,Little Change,Within Goal Range,Waterfowl
Brant,Branta bernicla,Little Change,Within Goal Range,Waterfowl
Bufflehead,Bucephala albeola,Large Increase,Within Goal Range,Waterfowl
Cackling Goose,Branta hutchinsii,Large Increase,Within Goal Range,Waterfowl
Canada Goose,Branta canadensis,Large Increase,Within Goal Range,Waterfowl
Canvasback,Aythya valisineria,Little Change,Within Goal Range,Waterfowl
Cinnamon Teal,Spatula cyanoptera,Moderate Increase,Within Goal Range,Waterfowl
Common Eider,Somateria mollissima,Little Change,Within Goal Range,Waterfowl
Common Goldeneye,Bucephala clangula,Little Change,Within Goal Range,Waterfowl
Common Merganser,Mergus merganser,Moderate Increase,Within Goal Range,Waterfowl
Gadwall,Mareca strepera,Moderate Increase,Within Goal Range,Waterfowl
Greater Scaup,Aythya marila,Little Change,Within Goal Range,Waterfowl
Greater White-fronted Goose,Anser albifrons,Large Increase,Within Goal Range,Waterfowl
Green-winged Teal,Anas crecca,Little Change,Within Goal Range,Waterfowl
Harlequin Duck,Histrionicus histrionicus,Little Change,Within Goal Range,Waterfowl
Hooded Merganser,Lophodytes cucullatus,Large Increase,Within Goal Range,Waterfowl
King Eider,Somateria spectabilis,Large Decrease,Below Goal Range,Waterfowl
Lesser Scaup,Aythya affinis,Moderate Decrease,Below Goal Range,Waterfowl
Long-tailed Duck,Clangula hyemalis,Large Decrease,Below Goal Range,Waterfowl
Mallard,Anas platyrhynchos,Little Change,Within Goal Range,Waterfowl
Northern Pintail,Anas acuta,Large Decrease,Below Goal Range,Waterfowl
Northern Shoveler,Spatula clypeata,Little Change,Within Goal Range,Waterfowl
Red-breasted Merganser,Mergus serrator,Little Change,Within Goal Range,Waterfowl
Redhead,Aythya americana,Moderate Increase,Within Goal Range,Waterfowl
Ring-necked Duck,Aythya collaris,Large Increase,Within Goal Range,Waterfowl
Ross's Goose,Anser rossii,Large Increase,Above Goal Range,Waterfowl
Ruddy Duck,Oxyura jamaicensis,Large Increase,Within Goal Range,Waterfowl
Snow Goose,Anser caerulescens,Large Increase,Above Goal Range,Waterfowl
Surf Scoter,Melanitta perspicillata,Little Change,Within Goal Range,Waterfowl
Trumpeter Swan,Cygnus buccinator,Large Increase,Within Goal Range,Waterfowl
Tundra Swan,Cygnus columbianus,Moderate Increase,Within Goal Range,Waterfowl
White-winged Scoter,Melanitta deglandi,Moderate Decrease,Below Goal Range,Waterfowl
Wood Duck,Aix sponsa,Large Increase,Within Goal Range,Waterfowl
American Goshawk,Accipiter atricapillus,Little Change,Within Goal Range,Bird of Prey
American Kestrel,Falco sparverius,Moderate Decrease,Below Goal Range,Bird of Prey
Bald Eagle,Haliaeetus leucocephalus,Large Increase,Within Goal Range,Bird of Prey
Barn Owl,Tyto alba,Little Change,Within Goal Range,Bird of Prey
Barred Owl,Strix varia,Large Increase,Within Goal Range,Bird of Prey
Boreal Owl,Aegolius funereus,Data Deficient,Data Deficient,Bird of Prey
Broad-winged Hawk,Buteo platypterus,Large Increase,Within Goal Range,Bird of Prey
Burrowing Owl,Athene cunicularia,Large Decrease,Below Goal Range,Bird of Prey
Cooper's Hawk,Accipiter cooperii,Little Change,Within Goal Range,Bird of Prey
Eastern Screech-Owl,Megascops asio,Large Increase,Within Goal Range,Bird of Prey
Ferruginous Hawk,Buteo regalis,Large Increase,Within Goal Range,Bird of Prey
Flammulated Owl,Psiloscops flammeolus,Data Deficient,Data Deficient,Bird of Prey
Golden Eagle,Aquila chrysaetos,Little Change,Within Goal Range,Bird of Prey
Great Gray Owl,Strix nebulosa,Large Increase,Within Goal Range,Bird of Prey
Great Horned Owl,Bubo virginianus,Large Decrease,Below Goal Range,Bird of Prey
Gyrfalcon,Falco rusticolus,Moderate Decrease,Below Goal Range,Bird of Prey
Long-eared Owl,Asio otus,Little Change,Within Goal Range,Bird of Prey
Merlin,Falco columbarius,Large Increase,Within Goal Range,Bird of Prey
Northern Harrier,Circus hudsonius,Large Decrease,Below Goal Range,Bird of Prey
Northern Hawk Owl,Surnia ulula,Moderate Increase,Within Goal Range,Bird of Prey
Northern Pygmy-Owl,Glaucidium gnoma,Moderate Increase,Within Goal Range,Bird of Prey
Northern Saw-whet Owl,Aegolius acadicus,Large Increase,Within Goal Range,Bird of Prey
Osprey,Pandion haliaetus,Large Increase,Within Goal Range,Bird of Prey
Peregrine Falcon,Falco peregrinus,Large Increase,Within Goal Range,Bird of Prey
Prairie Falcon,Falco mexicanus,Little Change,Within Goal Range,Bird of Prey
Red-shouldered Hawk,Buteo lineatus,Moderate Increase,Within Goal Range,Bird of Prey
Red-tailed Hawk,Buteo jamaicensis,Moderate Increase,Within Goal Range,Bird of Prey
Rough-legged Hawk,Buteo lagopus,Little Change,Within Goal Range,Bird of Prey
Sharp-shinned Hawk,Accipiter striatus,Moderate Increase,Within Goal Range,Bird of Prey
Short-eared Owl,Asio flammeus,Large Decrease,Below Goal Range,Bird of Prey
Snowy Owl,Bubo scandiacus,Large Decrease,Below Goal Range,Bird of Prey
Spotted Owl,Strix occidentalis,Large Decrease,Below Goal Range,Bird of Prey
Swainson's Hawk,Buteo swainsoni,Moderate Increase,Within Goal Range,Bird of Prey
Turkey Vulture,Cathartes aura,Large Increase,Within Goal Range,Bird of Prey
Western Screech-Owl,Megascops kennicottii,Large Decrease,Data Deficient,Bird of Prey
Alder Flycatcher,Empidonax alnorum,Little Change,Within Goal Range,Wetland Bird
American Avocet,Recurvirostra americana,Moderate Increase,Within Goal Range,Wetland Bird
American Bittern,Botaurus lentiginosus,Large Decrease,Below Goal Range,Wetland Bird
American Black Duck,Anas rubripes,Moderate Decrease,Below Goal Range,Wetland Bird
American Coot,Fulica americana,Moderate Decrease,Below Goal Range,Wetland Bird
American White Pelican,Pelecanus erythrorhynchos,Large Increase,Within Goal Range,Wetland Bird
American Wigeon,Mareca americana,Moderate Decrease,Below Goal Range,Wetland Bird
Barrow's Goldeneye,Bucephala islandica,Moderate Increase,Within Goal Range,Wetland Bird
Belted Kingfisher,Megaceryle alcyon,Moderate Decrease,Below Goal Range,Wetland Bird
Black Tern,Chlidonias niger,Large Decrease,Below Goal Range,Wetland Bird
Black-crowned Night Heron,Nycticorax nycticorax,Large Decrease,Below Goal Range,Wetland Bird
Blue-winged Teal,Spatula discors,Little Change,Within Goal Range,Wetland Bird
California Gull,Larus californicus,Moderate Decrease,Below Goal Range,Wetland Bird
Canada Goose,Branta canadensis,Large Increase,Within Goal Range,Wetland Bird
Canvasback,Aythya valisineria,Little Change,Within Goal Range,Wetland Bird
Caspian Tern,Hydroprogne caspia,Large Increase,Within Goal Range,Wetland Bird
Cinnamon Teal,Spatula cyanoptera,Moderate Increase,Within Goal Range,Wetland Bird
Clark's Grebe,Aechmophorus clarkii,Data Deficient,Data Deficient,Wetland Bird
Common Gallinule,Gallinula galeata,Large Decrease,Below Goal Range,Wetland Bird
Common Goldeneye,Bucephala clangula,Little Change,Within Goal Range,Wetland Bird
Common Loon,Gavia immer,Moderate Increase,Within Goal Range,Wetland Bird
Common Merganser,Mergus merganser,Moderate Increase,Within Goal Range,Wetland Bird
Common Tern,Sterna hirundo,Moderate Decrease,Below Goal Range,Wetland Bird
Common Yellowthroat,Geothlypis trichas,Little Change,Within Goal Range,Wetland Bird
Double-crested Cormorant,Nannopterum auritum,Large Increase,Within Goal Range,Wetland Bird
Eared Grebe,Podiceps nigricollis,Large Increase,Within Goal Range,Wetland Bird
Forster's Tern,Sterna forsteri,Moderate Decrease,Below Goal Range,Wetland Bird
Franklin's Gull,Leucophaeus pipixcan,Moderate Decrease,Below Goal Range,Wetland Bird
Gadwall,Mareca strepera,Moderate Increase,Within Goal Range,Wetland Bird
Great Blue Heron,Ardea herodias,Little Change,Within Goal Range,Wetland Bird
Green Heron,Butorides virescens,Moderate Decrease,Below Goal Range,Wetland Bird
Green-winged Teal,Anas crecca,Little Change,Within Goal Range,Wetland Bird
Hooded Merganser,Lophodytes cucullatus,Large Increase,Within Goal Range,Wetland Bird
Horned Grebe,Podiceps auritus,Little Change,Within Goal Range,Wetland Bird
King Rail,Rallus elegans,Data Deficient,Data Deficient,Wetland Bird
Least Bittern,Ixobrychus exilis,Little Change,Within Goal Range,Wetland Bird
Mallard,Anas platyrhynchos,Little Change,Within Goal Range,Wetland Bird
Marsh Wren,Cistothorus palustris,Large Increase,Within Goal Range,Wetland Bird
Nelson's Sparrow,Ammospiza nelsoni,Little Change,Within Goal Range,Wetland Bird
Northern Pintail,Anas acuta,Large Decrease,Below Goal Range,Wetland Bird
Northern Shoveler,Spatula clypeata,Little Change,Within Goal Range,Wetland Bird
Pied-billed Grebe,Podilymbus podiceps,Little Change,Within Goal Range,Wetland Bird
Red-necked Grebe,Podiceps grisegena,Moderate Increase,Within Goal Range,Wetland Bird
Red-winged Blackbird,Agelaius phoeniceus,Little Change,Within Goal Range,Wetland Bird
Redhead,Aythya americana,Moderate Increase,Within Goal Range,Wetland Bird
Ring-billed Gull,Larus delawarensis,Large Increase,Within Goal Range,Wetland Bird
Ring-necked Duck,Aythya collaris,Large Increase,Within Goal Range,Wetland Bird
Ruddy Duck,Oxyura jamaicensis,Large Increase,Within Goal Range,Wetland Bird
Sandhill Crane,Antigone canadensis,Large Increase,Within Goal Range,Wetland Bird
Sedge Wren,Cistothorus stellaris,Little Change,Within Goal Range,Wetland Bird
Snowy Egret,Egretta thula,Data Deficient,Data Deficient,Wetland Bird
Sora,Porzana carolina,Little Change,Within Goal Range,Wetland Bird
Spotted Sandpiper,Actitis macularius,Large Decrease,Below Goal Range,Wetland Bird
Swamp Sparrow,Melospiza georgiana,Moderate Increase,Within Goal Range,Wetland Bird
Trumpeter Swan,Cygnus buccinator,Large Increase,Within Goal Range,Wetland Bird
Virginia Rail,Rallus limicola,Large Increase,Within Goal Range,Wetland Bird
Western Cattle Egret,Bubulcus ibis,Data Deficient,To be determined,Wetland Bird
Western Grebe,Aechmophorus occidentalis,Little Change,Within Goal Range,Wetland Bird
Willet,Tringa semipalmata,Little Change,Within Goal Range,Wetland Bird
Willow Flycatcher,Empidonax traillii,Moderate Decrease,Below Goal Range,Wetland Bird
Wilson's Phalarope,Phalaropus tricolor,Little Change,Within Goal Range,Wetland Bird
Wood Duck,Aix sponsa,Large Increase,Within Goal Range,Wetland Bird
Yellow-headed Blackbird,Xanthocephalus xanthocephalus,Moderate Increase,Within Goal Range,Wetland Bird
Ancient Murrelet,Synthliboramphus antiquus,Moderate Increase,Within Goal Range,Marine Bird
Arctic Tern,Sterna paradisaea,Data Deficient,Data Deficient,Marine Bird
Atlantic Puffin,Fratercula arctica,Moderate Increase,Within Goal Range,Marine Bird
Barrow's Goldeneye,Bucephala islandica,Moderate Increase,Within Goal Range,Marine Bird
Bermuda Petrel,Pterodroma cahow,Data Deficient,Data Deficient,Marine Bird
Black Guillemot,Cepphus grylle,Large Increase,Within Goal Range,Marine Bird
Black Scoter,Melanitta americana,Large Decrease,Below Goal Range,Marine Bird
Black Tern,Chlidonias niger,Large Decrease,Below Goal Range,Marine Bird
Black-footed Albatross,Phoebastria nigripes,Little Change,Data Deficient,Marine Bird
Black-headed Gull,Chroicocephalus ridibundus,Data Deficient,Data Deficient,Marine Bird
Black-legged Kittiwake,Rissa tridactyla,Moderate Decrease,Below Goal Range,Marine Bird
Brandt's Cormorant,Urile penicillatus,Little Change,Within Goal Range,Marine Bird
Brant,Branta bernicla,Little Change,Within Goal Range,Marine Bird
Brown Pelican,Pelecanus occidentalis,Data Deficient,Data Deficient,Marine Bird
Bufflehead,Bucephala albeola,Large Increase,Within Goal Range,Marine Bird
Buller's Shearwater,Ardenna bulleri,Data Deficient,Data Deficient,Marine Bird
California Gull,Larus californicus,Moderate Decrease,Below Goal Range,Marine Bird
Caspian Tern,Hydroprogne caspia,Large Increase,Within Goal Range,Marine Bird
Cassin's Auklet,Ptychoramphus aleuticus,Moderate Decrease,Below Goal Range,Marine Bird
Clark's Grebe,Aechmophorus clarkii,Data Deficient,Data Deficient,Marine Bird
Common Eider,Somateria mollissima,Little Change,Within Goal Range,Marine Bird
Common Goldeneye,Bucephala clangula,Little Change,Within Goal Range,Marine Bird
Common Loon,Gavia immer,Moderate Increase,Within Goal Range,Marine Bird
Common Murre,Uria aalge,Little Change,Within Goal Range,Marine Bird
Common Tern,Sterna hirundo,Moderate Decrease,Below Goal Range,Marine Bird
Cory's Shearwater,Calonectris diomedea,Data Deficient,Data Deficient,Marine Bird
Double-crested Cormorant,Nannopterum auritum,Large Increase,Within Goal Range,Marine Bird
Dovekie,Alle alle,Data Deficient,Data Deficient,Marine Bird
Eared Grebe,Podiceps nigricollis,Large Increase,Within Goal Range,Marine Bird
Flesh-footed Shearwater,Ardenna carneipes,Data Deficient,Data Deficient,Marine Bird
Fork-tailed Storm-Petrel,Hydrobates furcatus,Data Deficient,Data Deficient,Marine Bird
Forster's Tern,Sterna forsteri,Moderate Decrease,Below Goal Range,Marine Bird
Glaucous Gull,Larus hyperboreus,Large Decrease,Below Goal Range,Marine Bird
Glaucous-winged Gull,Larus glaucescens,Moderate Decrease,Below Goal Range,Marine Bird
Great Black-backed Gull,Larus marinus,Large Decrease,Below Goal Range,Marine Bird
Great Cormorant,Phalacrocorax carbo,Little Change,Within Goal Range,Marine Bird
Great Shearwater,Ardenna gravis,Data Deficient,Data Deficient,Marine Bird
Great Skua,Stercorarius skua,Data Deficient,Data Deficient,Marine Bird
Greater Scaup,Aythya marila,Little Change,Within Goal Range,Marine Bird
Harlequin Duck,Histrionicus histrionicus,Little Change,Within Goal Range,Marine Bird
Heermann's Gull,Larus heermanni,Moderate Increase,Within Goal Range,Marine Bird
Herring Gull,Larus argentatus,Large Decrease,Below Goal Range,Marine Bird
Horned Grebe,Podiceps auritus,Little Change,Within Goal Range,Marine Bird
Horned Puffin,Fratercula corniculata,Data Deficient,Data Deficient,Marine Bird
Iceland Gull,Larus glaucoides,Large Increase,Within Goal Range,Marine Bird
Ivory Gull,Pagophila eburnea,Large Decrease,Below Goal Range,Marine Bird
King Eider,Somateria spectabilis,Large Decrease,Below Goal Range,Marine Bird
Laughing Gull,Leucophaeus atricilla,Data Deficient,Data Deficient,Marine Bird
Laysan Albatross,Phoebastria immutabilis,Data Deficient,Data Deficient,Marine Bird
Leach's Storm-Petrel,Hydrobates leucorhous,Large Decrease,Below Goal Range,Marine Bird
Lesser Black-backed Gull,Larus fuscus,Large Increase,Within Goal Range,Marine Bird
Long-tailed Duck,Clangula hyemalis,Large Decrease,Below Goal Range,Marine Bird
Long-tailed Jaeger,Stercorarius longicaudus,Data Deficient,Data Deficient,Marine Bird
Manx Shearwater,Puffinus puffinus,Data Deficient,Data Deficient,Marine Bird
Marbled Murrelet,Brachyramphus marmoratus,Large Decrease,Below Goal Range,Marine Bird
Northern Fulmar,Fulmarus glacialis,Large Decrease,Below Goal Range,Marine Bird
Northern Gannet,Morus bassanus,Large Increase,Within Goal Range,Marine Bird
Pacific Loon,Gavia pacifica,Little Change,Within Goal Range,Marine Bird
Parasitic Jaeger,Stercorarius parasiticus,Data Deficient,Data Deficient,Marine Bird
Pelagic Cormorant,Urile pelagicus,Moderate Decrease,Below Goal Range,Marine Bird
Pigeon Guillemot,Cepphus columba,Large Decrease,Below Goal Range,Marine Bird
Pink-footed Shearwater,Ardenna creatopus,Data Deficient,Data Deficient,Marine Bird
Pomarine Jaeger,Stercorarius pomarinus,Data Deficient,Data Deficient,Marine Bird
Razorbill,Alca torda,Large Increase,Within Goal Range,Marine Bird
Red Phalarope,Phalaropus fulicarius,Data Deficient,Data Deficient,Marine Bird
Red-breasted Merganser,Mergus serrator,Little Change,Within Goal Range,Marine Bird
Red-necked Grebe,Podiceps grisegena,Moderate Increase,Within Goal Range,Marine Bird
Red-necked Phalarope,Phalaropus lobatus,Data Deficient,Data Deficient,Marine Bird
Red-throated Loon,Gavia stellata,Large Increase,Within Goal Range,Marine Bird
Rhinoceros Auklet,Cerorhinca monocerata,Little Change,Within Goal Range,Marine Bird
Roseate Tern,Sterna dougallii,Large Decrease,Below Goal Range,Marine Bird
Ross's Gull,Rhodostethia rosea,Little Change,Data Deficient,Marine Bird
Sabine's Gull,Xema sabini,Data Deficient,Data Deficient,Marine Bird
Short-billed Gull,Larus brachyrhynchus,Large Decrease,Below Goal Range,Marine Bird
Short-tailed Albatross,Phoebastria albatrus,Data Deficient,Data Deficient,Marine Bird
Short-tailed Shearwater,Ardenna tenuirostris,Data Deficient,Data Deficient,Marine Bird
Sooty Shearwater,Ardenna grisea,Data Deficient,Data Deficient,Marine Bird
South Polar Skua,Stercorarius maccormicki,Data Deficient,Data Deficient,Marine Bird
Surf Scoter,Melanitta perspicillata,Little Change,Within Goal Range,Marine Bird
Thick-billed Murre,Uria lomvia,Moderate Increase,Within Goal Range,Marine Bird
Tufted Puffin,Fratercula cirrhata,Little Change,Within Goal Range,Marine Bird
Western Grebe,Aechmophorus occidentalis,Little Change,Within Goal Range,Marine Bird
Western Gull,Larus occidentalis,Large Increase,Below Goal Range,Marine Bird
White-winged Scoter,Melanitta deglandi,Moderate Decrease,Below Goal Range,Marine Bird
Wilson's Storm-Petrel,Oceanites oceanicus,Data Deficient,Data Deficient,Marine Bird
Yellow-billed Loon,Gavia adamsii,Large Decrease,Below Goal Range,Marine Bird
Acadian Flycatcher,Empidonax virescens,Moderate Decrease,Within Goal Range,Forest Bird
American Goshawk,Accipiter atricapillus,Little Change,Within Goal Range,Forest Bird
American Redstart,Setophaga ruticilla,Little Change,Within Goal Range,Forest Bird
American Three-toed Woodpecker,Picoides dorsalis,Moderate Decrease,Below Goal Range,Forest Bird
Band-tailed Pigeon,Patagioenas fasciata,Large Decrease,Below Goal Range,Forest Bird
Barred Owl,Strix varia,Large Increase,Within Goal Range,Forest Bird
Bay-breasted Warbler,Setophaga castanea,Little Change,Within Goal Range,Forest Bird
Bicknell's Thrush,Catharus bicknelli,Large Decrease,Data Deficient,Forest Bird
Black-and-white Warbler,Mniotilta varia,Little Change,Within Goal Range,Forest Bird
Black-backed Woodpecker,Picoides arcticus,Little Change,Within Goal Range,Forest Bird
Black-capped Chickadee,Poecile atricapillus,Moderate Increase,Within Goal Range,Forest Bird
Black-headed Grosbeak,Pheucticus melanocephalus,Moderate Increase,Within Goal Range,Forest Bird
Black-throated Blue Warbler,Setophaga caerulescens,Moderate Increase,Within Goal Range,Forest Bird
Black-throated Gray Warbler,Setophaga nigrescens,Moderate Decrease,Below Goal Range,Forest Bird
Black-throated Green Warbler,Setophaga virens,Moderate Decrease,Within Goal Range,Forest Bird
Blackburnian Warbler,Setophaga fusca,Little Change,Within Goal Range,Forest Bird
Blackpoll Warbler,Setophaga striata,Large Decrease,Below Goal Range,Forest Bird
Blue-headed Vireo,Vireo solitarius,Large Increase,Within Goal Range,Forest Bird
Bohemian Waxwing,Bombycilla garrulus,Moderate Decrease,Below Goal Range,Forest Bird
Boreal Chickadee,Poecile hudsonicus,Moderate Decrease,Below Goal Range,Forest Bird
Boreal Owl,Aegolius funereus,Data Deficient,Data Deficient,Forest Bird
Broad-winged Hawk,Buteo platypterus,Large Increase,Within Goal Range,Forest Bird
Brown Creeper,Certhia americana,Moderate Increase,Within Goal Range,Forest Bird
Canada Jay,Perisoreus canadensis,Little Change,Within Goal Range,Forest Bird
Canada Warbler,Cardellina canadensis,Large Decrease,Below Goal Range,Forest Bird
Cape May Warbler,Setophaga tigrina,Large Increase,Within Goal Range,Forest Bird
Cassin's Finch,Haemorhous cassinii,Moderate Decrease,Below Goal Range,Forest Bird
Cassin's Vireo,Vireo cassinii,Little Change,Within Goal Range,Forest Bird
Cerulean Warbler,Setophaga cerulea,Large Decrease,Below Goal Range,Forest Bird
Chestnut-backed Chickadee,Poecile rufescens,Moderate Decrease,Below Goal Range,Forest Bird
Chestnut-sided Warbler,Setophaga pensylvanica,Little Change,Within Goal Range,Forest Bird
Chuck-will's-widow,Antrostomus carolinensis,Data Deficient,Data Deficient,Forest Bird
Clark's Nutcracker,Nucifraga columbiana,Little Change,Within Goal Range,Forest Bird
Connecticut Warbler,Oporornis agilis,Large Decrease,Below Goal Range,Forest Bird
Cooper's Hawk,Accipiter cooperii,Little Change,Within Goal Range,Forest Bird
Dark-eyed Junco,Junco hyemalis,Little Change,Within Goal Range,Forest Bird
Downy Woodpecker,Dryobates pubescens,Little Change,Within Goal Range,Forest Bird
Dusky Flycatcher,Empidonax oberholseri,Moderate Decrease,Below Goal Range,Forest Bird
Dusky Grouse,Dendragapus obscurus,Large Decrease,Below Goal Range,Forest Bird
Eastern Screech-Owl,Megascops asio,Large Increase,Within Goal Range,Forest Bird
Eastern Whip-poor-will,Antrostomus vociferus,Moderate Decrease,Below Goal Range,Forest Bird
